TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Create Guided Capstone Step 1 instruction doc (with hints),,,,,today,en,
task,Create Guided Capstone Step 1 good example for passing,,,,,today,en,
task,Create Guided Capstone Step 1 bad example,,,,,today,en,
task,Create Guided Capstone Step 1 Rubric,,,,,today,en,
task,Create Guided Capstone Step 2 instruction doc (with hints),,,,,today,en,
task,Create Guided Capstone Step 2 good example for passing,,,,,today,en,
task,Create Guided Capstone Step 2 bad example,,,,,today,en,
task,Create Guided Capstone Step 2 Rubric,,,,,today,en,
task,Create Guided Capstone Step 3 instruction doc (with hints),,,,,today,en,
task,Create Guided Capstone Step 3 good example for passing,,,,,today,en,
task,Create Guided Capstone Step 3 bad example,,,,,today,en,
task,Create Guided Capstone Step 3 Rubric,,,,,today,en,
task,Create Guided Capstone Step 4 instruction doc (with hints),,,,,today,en,
task,Create Guided Capstone Step 4 good example for passing,,,,,today,en,
task,Create Guided Capstone Step 4 bad example,,,,,today,en,
task,Create Guided Capstone Step 4 Rubric,,,,,today,en,
task,Create Guided Capstone Step 5 instruction doc (with hints),,,,,today,en,
task,Create Guided Capstone Step 5 good example for passing,,,,,today,en,
task,Create Guided Capstone Step 5 bad example,,,,,today,en,
task,Create Guided Capstone Step 6 Rubric,,,,,today,en,
task,Create Guided Capstone Step 6 instruction doc (with hints),,,,,today,en,
task,Create Guided Capstone Step 6 good example for passing,,,,,today,en,
task,Create Guided Capstone Step 6 bad example,,,,,today,en,
task,Create Guided Capstone Step 6 Rubric,,,,,today,en,
